#generating elena histogram
75 63 3 91 25 9 73 90 93 71 49 47 42 5 6 19 93 8 85 57 10 53 96 91 64 10 33 40 42 73 71 81
82 23 69 7 90 57 36 12 28 15 78 50 90 80 53 44 63 14 5 31 72 51 21 44 65 54 43 67 43 64 51 57
22 50 67 3 77 25 87 60 73 15 11 65 81 65 72 74 55 4 35 91 65 19 20 6 40 77 37 94 59 94 4 63
93 59 71 93 33 6 73 11 40 2 76 30 81 89 41 59 16 85 79 98 55 78 99 10 67 6 24 40 67 26 56 80
2 7 93 19 26 56 49 22 12 86 63 7 42 45 11 70 15 27 53 86 59 3 17 86 99 53 74 70 98 34 78 97
89 63 98 41 3 33 66 12 49 37 54 32 69 68 99 84 84 41 86 90 77 20 42 27 87 21 14 89 93 30 86 78
87 37 39 54 95 52 20 74 93 70 70 60 13 9 21 51 41 37 63 52 75 74 94 5 32 42 76 18 31 3 65 21
9 72 53 57 32 76 72 2 37 65 53 17 19 17 79 1 35 32 74 7 69 72 4 49 15 42 85 61 78 37 90 32
95 95 59 24 52 92 71 56 29 2 16 33 83 29 90 50 43 56 3 1 50 22 3 21 84 67 17 46 73 16 15 32
60 79 16 47 11 6 32 27 67 52 75 57 29 18 51 21 24 22 96 18 40 99 67 14 52 77 89 32 4 43 93 34
