0	0	21
0	1	32
0	2	30
0	3	72
0	4	97
0	5	88
0	6	51
0	7	24
0	8	41
0	9	7
1	0	5
1	1	41
1	2	11
1	3	63
1	4	71
1	5	82
1	6	43
1	7	64
1	8	65
1	9	87
2	0	67
2	1	47
2	2	46
2	3	30
2	4	18
2	5	87
2	6	21
2	7	36
2	8	33
2	9	56
3	0	70
3	1	42
3	2	98
3	3	78
3	4	43
3	5	5
3	6	61
3	7	92
3	8	5
3	9	65
4	0	26
4	1	83
4	2	46
4	3	40
4	4	34
4	5	12
4	6	65
4	7	64
4	8	8
4	9	67
5	0	75
5	1	75
5	2	4
5	3	86
5	4	16
5	5	65
5	6	88
5	7	53
5	8	15
5	9	60
6	0	37
6	1	66
6	2	12
6	3	36
6	4	13
6	5	90
6	6	10
6	7	60
6	8	75
6	9	65
7	0	46
7	1	12
7	2	35
7	3	8
7	4	86
7	5	21
7	6	66
7	7	80
7	8	89
7	9	88
8	0	79
8	1	3
8	2	74
8	3	47
8	4	35
8	5	91
8	6	20
8	7	31
8	8	97
8	9	75
9	0	15
9	1	67
9	2	96
9	3	75
9	4	43
9	5	78
9	6	5
9	7	67
9	8	75
9	9	73
10	0	39
10	1	82
10	2	63
10	3	51
10	4	16
10	5	0
10	6	29
10	7	93
10	8	66
10	9	47
11	0	30
11	1	88
11	2	18
11	3	37
11	4	61
11	5	95
11	6	55
11	7	31
11	8	40
11	9	67
12	0	71
12	1	80
12	2	31
12	3	91
12	4	51
12	5	72
12	6	10
12	7	22
12	8	11
12	9	71
13	0	63
13	1	60
13	2	20
13	3	14
13	4	8
13	5	68
13	6	9
13	7	67
13	8	83
13	9	16
14	0	66
14	1	74
14	2	14
14	3	10
14	4	49
14	5	73
14	6	10
14	7	88
14	8	45
14	9	29
15	0	50
15	1	48
15	2	84
15	3	40
15	4	84
15	5	6
15	6	83
15	7	77
15	8	8
15	9	89
16	0	10
16	1	76
16	2	4
16	3	17
16	4	74
16	5	99
16	6	7
16	7	11
16	8	28
16	9	24
17	0	69
17	1	96
17	2	86
17	3	54
17	4	21
17	5	30
17	6	56
17	7	91
17	8	1
17	9	24
18	0	16
18	1	28
18	2	35
18	3	55
18	4	21
18	5	30
18	6	65
18	7	71
18	8	65
18	9	94
19	0	80
19	1	0
19	2	44
19	3	4
19	4	79
19	5	34
19	6	85
19	7	80
19	8	94
19	9	84
20	0	91
20	1	53
20	2	57
20	3	48
20	4	80
20	5	70
20	6	48
20	7	25
20	8	15
20	9	12
21	0	26
21	1	26
21	2	86
21	3	7
21	4	43
21	5	25
21	6	8
21	7	43
21	8	91
21	9	91
22	0	21
22	1	91
22	2	65
22	3	52
22	4	0
22	5	89
22	6	17
22	7	83
22	8	96
22	9	23
23	0	0
23	1	46
23	2	7
23	3	34
23	4	68
23	5	57
23	6	91
23	7	58
23	8	15
23	9	38
24	0	7
24	1	93
24	2	67
24	3	16
24	4	3
24	5	65
24	6	90
24	7	82
24	8	41
24	9	14
25	0	8
25	1	47
25	2	69
25	3	24
25	4	78
25	5	34
25	6	2
25	7	58
25	8	63
25	9	64
26	0	12
26	1	93
26	2	68
26	3	10
26	4	30
26	5	80
26	6	16
26	7	76
26	8	10
26	9	63
27	0	49
27	1	55
27	2	15
27	3	86
27	4	99
27	5	5
27	6	39
27	7	72
27	8	7
27	9	79
28	0	82
28	1	24
28	2	47
28	3	89
28	4	32
28	5	18
28	6	92
28	7	56
28	8	37
28	9	64
29	0	38
29	1	95
29	2	10
29	3	44
29	4	33
29	5	33
29	6	38
29	7	70
29	8	86
29	9	78
30	0	91
30	1	10
30	2	97
30	3	56
30	4	8
30	5	31
30	6	80
30	7	17
30	8	64
30	9	23
31	0	51
31	1	68
31	2	7
31	3	98
31	4	36
31	5	46
31	6	69
31	7	29
31	8	26
31	9	29
