75 82 22 93 2 89 87 9 95 60 
63 23 50 59 7 63 37 72 95 79 
3 69 67 71 93 98 39 53 59 16 
91 7 3 93 19 41 54 57 24 47 
25 90 77 33 26 3 95 32 52 11 
9 57 25 6 56 33 52 76 92 6 
73 36 87 73 49 66 20 72 71 32 
90 12 60 11 22 12 74 2 56 27 
93 28 73 40 12 49 93 37 29 67 
71 15 15 2 86 37 70 65 2 52 
49 78 11 76 63 54 70 53 16 75 
47 50 65 30 7 32 60 17 33 57 
42 90 81 81 42 69 13 19 83 29 
5 80 65 89 45 68 9 17 29 18 
6 53 72 41 11 99 21 79 90 51 
19 44 74 59 70 84 51 1 50 21 
93 63 55 16 15 84 41 35 43 24 
8 14 4 85 27 41 37 32 56 22 
85 5 35 79 53 86 63 74 3 96 
57 31 91 98 86 90 52 7 1 18 
10 72 65 55 59 77 75 69 50 40 
53 51 19 78 3 20 74 72 22 99 
96 21 20 99 17 42 94 4 3 67 
91 44 6 10 86 27 5 49 21 14 
64 65 40 67 99 87 32 15 84 52 
10 54 77 6 53 21 42 42 67 77 
33 43 37 24 74 14 76 85 17 89 
40 67 94 40 70 89 18 61 46 32 
42 43 59 67 98 93 31 78 73 4 
73 64 94 26 34 30 3 37 16 43 
71 51 4 56 78 86 65 90 15 93 
81 57 63 80 97 78 21 32 32 34 
