jan3116:16:24 localhost lmsensors/acpitz-virtual-0/temp1: 71
jan3116:16:25 localhost lmsensors/acpitz-virtual-0/temp1: 71
jan3116:16:26 localhost lmsensors/acpitz-virtual-0/temp1: 71
jan3116:16:27 localhost lmsensors/acpitz-virtual-0/temp1: 71
jan3116:16:28 localhost lmsensors/acpitz-virtual-0/temp1: 71
jan3116:16:29 localhost lmsensors/acpitz-virtual-0/temp1: 71
jan3116:16:30 localhost lmsensors/acpitz-virtual-0/temp1: 71
jan3116:16:31 localhost lmsensors/acpitz-virtual-0/temp1: 71
jan3116:16:32 localhost lmsensors/acpitz-virtual-0/temp1: 71
jan3116:16:33 localhost lmsensors/acpitz-virtual-0/temp1: 72
